Product ID;Name *;price netto;price brutto;Supplier;Description;Image;Cout;TaxID;Category
1;Lampa Kinkiet Edison Loft;33,1;42,99;Light Home;<p><strong>Lampa ścienna kinkiet loft różne kolory<br/></strong><br/>Nowoczesny i unikalny design kinkietu wprowadzi do Twoich wnętrz elegancję i oryginalność. Spiralne łączenie oraz brak kloszy to świetny sposób na udekorowanie pomieszczenia w każdym stylu.<br/><br/><strong>Do jakich wnętrz pasuje prezentowana lampa?<br/></strong><br/>Kinkiet z powodzeniem będzie pełnił funkcje oświetlenia łazienkowego, kuchennego czy biurowego. Dzięki wielu kolorom do wyboru możesz z łatwością tworzyć piękne aranżacje, o jakich marzysz!<br/><br/><strong>Jakie materiały zostały wykorzystane do produkcji kinkietu ściennego?<br/></strong><br/>Lampa w całości wykonana jest z trwałego metalu, dzięki czemu oświetlenie posłuży Twoim wnętrzom przez długi czas. Kinkiet może być zasilany wieloma źródłami zasilania, na przykład żarówkami LED lub energooszczędnymi.</p>;https://light-home.pl/1203-thickbox_default/lampa-kinkiet-edison-loft.jpg;100;5;Lampy kinkiety LOFT / Industrialne
2;Lampa Wisząca Pojedyncza Kula Chrom;83,92;108,99;Light Home;<p><strong>Lampa 1 – płomienna metalowa kula<br/></strong><br/>Oryginalny, ale prosty styl lampy wiszącej sprawiają, że Twoje wnętrza będą wyglądać zniewalająco. Oświetlenie świetnie uzupełni każdą aranżację.<br/><br/><strong>Gdzie zawiesić prezentowaną lampę wiszącą?<br/></strong><br/>Zastosowań nowoczesnej lampy jest całe mnóstwo. Może ona być oświetleniem kuchennym, biurowym czy pokojowym. Metaliczny połysk lampy sufitowej sprawia, że świetnie komponuje się ze wszystkimi kolorami wnętrz.<br/><br/><strong>Z czego wykonana jest lampa wisząca?</strong><br/><br/>Oświetlenie zostało w całości stworzone z metalu, przez co jest wyjątkowo trwałe i wytrzymałe. Wnętrze klosza jest białe. Lampa posiada także możliwość regulacji wysokości, aby mogła idealnie dopasować się do każdego wymiaru pomieszczenia. Oświetlenie jest zasilane wieloma rodzajami światła, na przykład żarówkami ledowymi.</p>;https://light-home.pl/15382-thickbox_default/lampa-wiszaca-kula-chrom.jpg;100;5;Lampy wiszące chrom
3;Lampa Wisząca Chromowane Kule;210,97;273,99;Light Home;<p><strong>Lampa wiszące kule chrom <br/></strong><br/>Oryginalny i zachwycający design lampy sufitowej wprowadzi mnóstwo nowoczesności do Twoich wnętrz. Trzy wiszące kule z powodzeniem ozdobią wnętrza w każdym stylu – od awangardowych po klasyczne.<br/><br/><strong>W jakich pomieszczeniach najlepiej sprawdzi się nasza 3 - płomienna lampa?<br/></strong><br/>Oświetlenie sufitowe będzie znakomicie prezentować się w kuchni, jadalni, pokoju czy gabinecie. Metaliczny kolor pasuje do wszystkich innych barw. Chcesz osiągnąć wyjątkowy i niepowtarzalny design w swoich wnętrzach? Unikatowa lampa z wiszącymi kulami z pewnością pomoże Ci skomponować wymarzoną aranżację.<br/><br/><strong>Jakie zalety posiada nasza lampa wisząca?<br/></strong><br/>Oświetlenie zostało wykonane z metalu, dzięki czemu masz gwarancję wytrzymałości i trwałości. Wysokość lampy wiszącej jest regulowana, przez co możesz sam decydować, jak ma wyglądać oświetlenie Twojego wnętrza. Dodatkowo lampa posiada możliwość zasilania jej żarówkami LED oraz posiada opcję podłączenia pod podwójny przełącznik.</p>;https://light-home.pl/1224-thickbox_default/lampa-wiszaca-kula-chrom.jpg;100;5;Lampy wiszące nowoczesne
4;Nowoczesna Lampa Wisząca Kule Chrom;219,44;284,99;Light Home;"<p align=""left""><strong>Lampa wisząca metalowa 3 źródła zasilania</strong></p><p>Unikatowy design i funkcjonalność naszej metalowej lampy sufitowej to cechy, które wyróżniają ją spośród innych ofert. Efektowne kule wiszące na lince wprowadzą nowoczesnego i eleganckiego stylu do każdego pomieszczenia. <br><br/><strong>Jakie zastosowania ma 3 – płomienna lampa wisząca?</strong><br/><br/> Oświetlenie sufitowe będzie znakomicie komponować się w kuchni nad stołem, jadalni, gabinecie czy pokoju sypialnym. Metaliczny kolor lampy wiszącej wpasuje się w każdą aranżację nadając jej nowoczesności. <br/><br/><strong>Z jakich materiałów została wykonana nasza oryginalna lampa?</strong><br/><br/> Lampa wykonana jest z metalu. Niewątpliwą zaletą lampy wiszącej jest możliwość podłączenia jej pod podwójny przełącznik oraz opcja zasilania ledowymi żarówkami. Dodatkowo lampa posiada możliwość regulacji jej wysokości, co czyni ją jeszcze bardziej funkcjonalną.</br></p>";https://light-home.pl/816-thickbox_default/lampa-3-plomienna-kule-chrom.jpg;100;5;Nowoczesna Lampa Wisząca Kule Chrom 
5;Oryginalna Lampa Wisząca Loft Retro Edison;46,2;60,00;Light Home;<p><strong>Lampa wisząca w stylu retro</strong><br><br/>Minimalistyczny styl w połączeniu z nowoczesnym designem i klasycznymi kolorami dają lampę wiszącą, która będzie jedyną w swoim rodzaju ozdobą Twoich wnętrz.</br></p><p><strong>Gdzie najlepiej prezentuje się awangardowa lampa?</strong></p><p>Nasza lampa posiada wiele zastosowań. Może pełnić funkcję oświetlenia kuchennego, salonowego czy sypialnianego. To właśnie minimalizm lampy wiszącej pozwala jej znakomicie dopasowywać się do pomieszczeń, bez względu na styl, w jakim są urządzone. Ponadto lampa stworzona jest w trzech klasycznych kolorach – czarnym, białym i grafitowym z nutą brokatu – dzięki czemu jeszcze dokładniej dopasujesz oświetlenie do swojej aranżacji.</p><p><strong>Czy lampa wisząca jest praktyczna?</strong></p><p>Oświetlenie posiada możliwość regulacji wysokości, przez co idealnie dostosujesz lampę do wymiarów swojego pomieszczenia. Ponadto lampa wykonana jest z trwałego metalu, co daje gwarancję niezawodności i wytrzymałości. Źródłem światła naszego oświetlenia mogą być piękne żarówki dekoracyjne, które nadają wnętrzom magicznego klimatu. Lampa ma również możliwość zasilania żarówkami LED E-27, energooszczędnymi lub zwykłymi.</p>;https://light-home.pl/1295-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg;100;5;Oryginalna Lampa Wisząca Loft Retro Edison 
6;Lampa Sufitowa Plafon Aluminiowy Nowoczesny;43,12;56,00;Light Home;<p><strong>Oryginalna lampa sufitowa plafon owal</strong></p><p>Minimalistyczna i elegancka lampa sufitowa, która nada Twoim wnętrzom wyjątkowego klimatu! Wybierz kolor najbardziej oddający charakter pomieszczenia i ciesz się stylowym wystrojem swoich wnętrz.</p><p><strong>Gdzie najlepiej prezentuje się nowoczesny plafon?</strong></p><p>Dzięki klasycznej konstrukcji i stonowanym kolorom, lampa sufitowa wspaniale prezentuje się w niemal każdym pomieszczeniu. Salon, jadalnia, kuchnia, biuro czy sypialnia – plafon nada każdemu wnętrzu elegancji i nowoczesności. Do naszej lampy sufitowej możesz dobrać kinkiet stworzony w identycznym stylu. Takie połączenie lamp sprawi, że Twoja aranżacja będzie spójna i dopracowana pod najmniejszym szczegółem.</p><p><strong>Jakie zalety posiada nowoczesna lampa sufitowa?</strong></p><p>Materiał, wykorzystany do stworzenia plafonu, to najwyższej jakości metal. Dzięki zastosowaniu solidnych tworzyw, lampa sufitowa będzie oświetlała Twoje wnętrza przez bardzo długi czas. Plafon posiada możliwość wyboru koloru spośród trzech możliwych, przez co idealnie dopasujesz lampę do swoich wnętrz. Plafon zasilany jest żarówkami LED GU10.</p>;https://light-home.pl/2206-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg;100;5;Lampy sufitowe nowoczesne
7;Stylowy Kinkiet Chrom;50,04;64,99;Light Home;<p><strong>Metalowy kinkiet lampa ścienna <br/></strong><br/>Elegancki wygląd kinkietu nada Twoim wnętrzom oryginalnego i niepowtarzalnego klimatu. Faliste łączenia oraz metaliczny kolor lampy czynią ją wyjątkową i pasującą do każdego stylu pomieszczenia.<br/><br/><strong>Gdzie najlepiej prezentuje się metalowy kinkiet?<br/></strong><br/>Kuchnia, salon, sypialnia, biuro czy łazienka – lampa będzie pasować do każdego pomieszczenia. Kinkiet łączy w sobie nowoczesny i jednocześnie elegancki design. To właśnie dzięki temu lampa ścienna świetnie prezentuje się we wszystkich wnętrzach.<br/><br/><strong>Jakie materiały zostały użyte do produkcji kinkietu?<br/></strong><br/>Konstrukcja lampy została wykonana z metalu, co czyni ją trwałą i odporną na uszkodzenia. Klosz natomiast jest szklany. Lampa jest także bardzo funkcjonalna, dzięki możliwości podłączenia pod podwójny przełącznik. Kinkiet może być zasilany żarówkami LED, energooszczędnymi i wieloma innymi.</p>;https://light-home.pl/1106-thickbox_default/kinkiet-chrom-06-lampa-nowoczesna-1-plomienna-stylowa.jpg;100;5;Stylowy Kinkiet Chrom 
8;Lampa Stojąca z Abażurem Trójnóg Podłogowa;168,62;218,99;Light Home;"<p><strong>Lampa stojąca trójnóg z abażurem</strong><br><br/>Elegancka i stylowa propozycja lampy stojącej, która będzie rewelacyjnie ozdabiać Twoje wnętrza oraz stanie się niezwykle funkcjonalnym oświetleniem.</br></p><p><strong>W jakich pomieszczeniach najlepiej umieścić prezentowany trójnóg?</strong></p><p>Lampa wspaniale wygląda w sypialni, gdzie może posłużyć jako światło relaksacyjne. Trójnóg może również pełnić rolę oświetlenia do biura, salonu, kuchni bądź jadalni. Dzięki możliwości wyboru koloru konstrukcji oraz abażura, możesz stworzyć własną, oryginalną lampę idealnie oddającą charakter Twojego wystroju wnętrz.</p><p><strong>Czy lampa stojąca posiada pożyteczne funkcje?</strong></p><p>Trójnóg posiada wiele praktycznych opcji. Jedną z nich jest zastosowanie w lampie stojącej włącznika – wyłącznika nożnego, dzięki któremu oświetlenie jest łatwe w obsłudze. Konstrukcja lampy wykonana jest z metalu, co zapewnia wytrzymałość i trwałość na wiele lat. Natomiast abażury stworzone są z solidnego materiału. Lampa może być zasilana wieloma rodzajami żaówek, w tym ledowymi, zwykłmi bądź energooszczędnymi o gwincie E-27.</p><p></p><p><img alt=""abazury kolor bez szary melanz-jpg.jpg"" height=""702"" src=""https://light-home.pl/img/cms/abazury%20kolor%20bez%20szary%20melanz-jpg.jpg"" width=""800""/></p>";https://light-home.pl/1700-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg;100;5;Lampa abażur materiałowa
9;Pojedyncza Lampa Wisząca Kula Metalowa;60,28;78,29;Light Home;<p><strong>Lampa wisząca kula 1 źródło zasilania metal<br/></strong><br/>Klasyczny, a zarazem elegancki styl lampy wiszącej doda Twoim wnętrzom nowoczesności i wyjątkowego klimatu. <br/><br/><strong>Gdzie zawiesić prezentowaną lampę?<br/></strong><br/>Żyrandol świetnie sprawdzi się zarówno w kuchni jak i pokoju, biurze czy salonie. Ponadczasowy design lampy sufitowej z powodzeniem dopasuje się do każdego pomieszczenia. Oświetlenie zostało stworzone w klasycznych kolorach kloszy aby nadać lampie wiszącej oryginalności i wyjątkowości.<br/><br/><strong>Jakie materiały zostały użyte do produkcji oświetlenia?<br/></strong><br/>Lampa jest w całości wykonana z trwałego i odpornego na uszkodzenia metalu. Żyrandol posiada regulowaną wysokość, dzięki czemu dopasuje się do każdego rozmiaru pomieszczenia. Ponadto lampa posiada wiele źródeł zasilania, na przykład żarówki ledowe lub energooszczędne.</p>;https://light-home.pl/1088-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg;100;5;Lampy wiszące regulowane
10;Lampa Sufitowa Plafon Kwadrat Stylowa Aluminiowa;43,12;56,00;Light Home;"<p><strong>Metalowy plafon lampa sufitowa kwadratowa</strong></p><p>Minimalizm lampy sufitowej wspaniale udekoruje Twoje wnętrza. Designerski wygląd nada wyjątkowego charakteru wielu rodzajom pomieszczeń.</p><p><strong>W jakich pomieszczeniach najlepiej prezentuje się stylowy plafon?</strong></p><p align=""left"">Nowoczesny salon, sypialnia, kuchnia, biuro czy jadalnia – nasza lampa sufitowa świetnie komponuje się we wszystkich eleganckich wnętrzach. Do plafonu możesz dobrać kinkiet wyglądający identycznie, co prezentowana lampa sufitowa. Dzięki takiemu połączeniu lamp uzyskach jednolity i stylowy wystrój swojego pomieszczenia.</p><p align=""left""><strong>Jakie praktyczne cechy posiada lampa sufitowa?</strong></p><p align=""left"">Metal, z którego zostało wykonane oświetlenie sufitowe, jest trwały i odporny na uszkodzenia, dzięki czemu plafon będzie pełnił swoją funkcję przez długi czas. Lampa stworzona jest w trzech klasycznych kolorach, aby idealnie komponowała się ze wszystkimi innymi barwami. Plafon zasilany jest żarówkami LED GU10.  </p>";https://light-home.pl/2229-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg;100;5;Lampy sufitowe do sypialni
